OBJECTID,the_geom,LandmarkNo,Name,Address,LargePhoto,Thumbnail,YearBuilt,Architect,Designer,Parcel,Designatio,PIMLink,Latitude,Longitude
11,MULTIPOINT ((-122.40309399999995 37.79606800000005)),9,LANGERMAN'S BUILDING/BELLI BUILDING,722 MONTGOMERY ST,http://sfplanninggis.org/Preservation/Landmarks/Large/9.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/9.jpg,,,,0196/030,http://sfplanninggis.org/docs/landmarks_and_districts/LM9.pdf,http://propertymap.sfplanning.org?search=0196/030,37.796068,-122.403094
12,MULTIPOINT ((-122.40309399999995 37.79606800000005)),10,GENELLA BUILDING,728-730 MONTGOMERY ST,http://sfplanninggis.org/Preservation/Landmarks/Large/10.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/10.jpg,1853-54,,,0196/030,http://sfplanninggis.org/docs/landmarks_and_districts/LM10.pdf,http://propertymap.sfplanning.org?search=0196/030,37.796068,-122.403094
13,MULTIPOINT ((-122.40309399999995 37.79606800000005)),10,GENELLA BUILDING/BELLI ANNEX,722-730 MONTGOMERY ST,http://sfplanninggis.org/Preservation/Landmarks/Large/10.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/10.jpg,1853-54,,,0196/030,http://sfplanninggis.org/docs/landmarks_and_districts/LM10.pdf,http://propertymap.sfplanning.org?search=0196/030,37.796068,-122.403094
14,MULTIPOINT ((-122.40309399999995 37.79606800000005)),10,GENELLA BUILDING/BELLI ANNEX,728-730 MONTGOMERY ST,http://sfplanninggis.org/Preservation/Landmarks/Large/10.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/10.jpg,1853-54,,,0196/030,http://sfplanninggis.org/docs/landmarks_and_districts/LM10.pdf,http://propertymap.sfplanning.org?search=0196/030,37.796068,-122.403094
15,MULTIPOINT ((-122.40270399999997 37.79613900000004)),11,HOTALING STABLES,32-42 HOTALING PL,http://sfplanninggis.org/Preservation/Landmarks/Large/11.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/11.jpg,LATE 1860'S,,,0196/044,http://sfplanninggis.org/docs/landmarks_and_districts/LM11.pdf,http://propertymap.sfplanning.org?search=0196/044,37.796139,-122.402704
16,MULTIPOINT ((-122.40275499999996 37.79632000000004)),12,HOTALING BUILDING,451-461 JACKSON ST,http://sfplanninggis.org/Preservation/Landmarks/Large/12.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/12.jpg,1866,,,0196/019,http://sfplanninggis.org/docs/landmarks_and_districts/LM12.pdf,http://propertymap.sfplanning.org?search=0196/019,37.79632,-122.402755
17,MULTIPOINT ((-122.40238299999999 37.79631400000005)),13,HOTALING ANNEX-EAST TREMONT STABLES,445 JACKSON ST,http://sfplanninggis.org/Preservation/Landmarks/Large/13.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/13.jpg,1860'S,,,0196/027,http://sfplanninggis.org/docs/landmarks_and_districts/LM13.pdf,http://propertymap.sfplanning.org?search=0196/027,37.796314,-122.402383
18,MULTIPOINT ((-122.40238299999999 37.79631400000005)),13,"HOTALING ANNEX-EAST, TREMONT STABLES",443-445 JACKSON ST,http://sfplanninggis.org/Preservation/Landmarks/Large/13.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/13.jpg,1860'S,,,0196/027,http://sfplanninggis.org/docs/landmarks_and_districts/LM13.pdf,http://propertymap.sfplanning.org?search=0196/027,37.796314,-122.402383
19,MULTIPOINT ((-122.40238299999999 37.79631400000005)),14,MEDICO-DENTAL BUILDING,435-441 JACKSON ST,http://sfplanninggis.org/Preservation/Landmarks/Large/14.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/14.jpg,1861,,,0196/027,http://sfplanninggis.org/docs/landmarks_and_districts/LM14.pdf,http://propertymap.sfplanning.org?search=0196/027,37.796314,-122.402383
20,MULTIPOINT ((-122.40238299999999 37.79631400000005)),15,OLD GHIRARDELLI BLDG,415-431 JACKSON ST,http://sfplanninggis.org/Preservation/Landmarks/Large/15.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/15.jpg,1853,,,0196/027,http://sfplanninggis.org/docs/landmarks_and_districts/LM15.pdf,http://propertymap.sfplanning.org?search=0196/027,37.796314,-122.402383
21,MULTIPOINT ((-122.40238299999999 37.79631400000005)),16,REGENCY HOUSE - GHIRARDELLI ANNEX,407 JACKSON ST,http://sfplanninggis.org/Preservation/Landmarks/Large/16.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/16.jpg,1861,,,0196/027,http://sfplanninggis.org/docs/landmarks_and_districts/LM16.pdf,http://propertymap.sfplanning.org?search=0196/027,37.796314,-122.402383
22,MULTIPOINT ((-122.42743099999996 37.797799000000055)),17,COLONIAL DAMES OCTAGON HOUSE,2645 GOUGH ST,http://sfplanninggis.org/Preservation/Landmarks/Large/17.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/17.jpg,1861,,,0544/001C,http://sfplanninggis.org/docs/landmarks_and_districts/LM17.pdf,http://propertymap.sfplanning.org?search=0544/001C,37.797799,-122.427431
23,MULTIPOINT ((-122.40193499999998 37.787941000000046)),18,"PALACE HOTEL, GARDEN COURTYARD",633-665 MARKET ST,http://sfplanninggis.org/Preservation/Landmarks/Large/18.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/18.jpg,1909;'15-'26;'50,TROWBRIDGE & LIVINGSTON;GEORGE KELHAM,,3707/052,http://sfplanninggis.org/docs/landmarks_and_districts/LM18.pdf,http://propertymap.sfplanning.org?search=3707/052,37.787941,-122.401935
24,MULTIPOINT ((-122.40312499999999 37.79622800000004)),19,GOLDEN ERA BUILDING,730 MONTGOMERY ST,http://sfplanninggis.org/Preservation/Landmarks/Large/19.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/19.jpg,1852,,,0196/015,http://sfplanninggis.org/docs/landmarks_and_districts/LM19.pdf,http://propertymap.sfplanning.org?search=0196/015,37.796228,-122.403125
25,MULTIPOINT ((-122.40301699999998 37.796343000000036)),20,HOTALING ANNEX WEST,463-473 JACKSON ST,http://sfplanninggis.org/Preservation/Landmarks/Large/20.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/20.jpg,1860,,,0196/017,http://sfplanninggis.org/docs/landmarks_and_districts/LM20.pdf,http://propertymap.sfplanning.org?search=0196/017,37.796343,-122.403017
26,MULTIPOINT ((-122.41922599999998 37.779273000000046)),21,SAN FRANCISCO CITY HALL,400 VAN NESS AV,http://sfplanninggis.org/Preservation/Landmarks/Large/21.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/21.jpg,1913/15,"JOHN BAKEWELL,JR & ARTHUR BROWN, JR.-EXTER.; LOUIS BOURGEOIS-INTERIOR.",,0787/001,http://sfplanninggis.org/docs/landmarks_and_districts/LM21.pdf,http://propertymap.sfplanning.org?search=0787/001,37.779273,-122.419226
27,MULTIPOINT ((-122.40304999999995 37.79662600000006)),22,SOLARI BLDG EAST(LARCO BUILDING),468-470 JACKSON ST,http://sfplanninggis.org/Preservation/Landmarks/Large/22.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/22.jpg,1852,,,0175/010,http://sfplanninggis.org/docs/landmarks_and_districts/LM22.pdf,http://propertymap.sfplanning.org?search=0175/010,37.796626,-122.40305
28,MULTIPOINT ((-122.40304999999995 37.79662600000006)),23,SOLARI BLDG WEST,472 JACKSON ST,http://sfplanninggis.org/Preservation/Landmarks/Large/23.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/23.jpg,1850-52,,,0175/010,http://sfplanninggis.org/docs/landmarks_and_districts/LM23.pdf,http://propertymap.sfplanning.org?search=0175/010,37.796626,-122.40305
29,MULTIPOINT ((-122.40255599999995 37.79668700000008)),24,YEON BLDG,432 JACKSON ST,http://sfplanninggis.org/Preservation/Landmarks/Large/24.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/24.jpg,1855,,,0175/007,http://sfplanninggis.org/docs/landmarks_and_districts/LM24.pdf,http://propertymap.sfplanning.org?search=0175/007,37.796687,-122.402556
30,MULTIPOINT ((-122.40287399999994 37.79664800000006)),25,MOULINIE BLDG,458-460 JACKSON ST,http://sfplanninggis.org/Preservation/Landmarks/Large/25.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/25.jpg,1850,,,0175/009,http://sfplanninggis.org/docs/landmarks_and_districts/LM25.pdf,http://propertymap.sfplanning.org?search=0175/009,37.796648,-122.402874
31,MULTIPOINT ((-122.40331999999995 37.79659200000003)),26,BANK OF LUCAS;TURNER & COMPANY,800-802 MONTGOMERY ST,http://sfplanninggis.org/Preservation/Landmarks/Large/26.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/26.jpg,1853/1854,REUBEN CLARK,,0175/012,http://sfplanninggis.org/docs/landmarks_and_districts/LM26.pdf,http://propertymap.sfplanning.org?search=0175/012,37.796592,-122.40332
32,MULTIPOINT ((-122.40205199999997 37.79675000000003)),27,GROGAN-ATHERTON-LENT BLDG,701 SANSOME ST,http://sfplanninggis.org/Preservation/Landmarks/Large/27.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/27.jpg,1859/1906,,,0175/004,http://sfplanninggis.org/docs/landmarks_and_districts/LM27.pdf,http://propertymap.sfplanning.org?search=0175/004,37.79675,-122.402052
33,MULTIPOINT ((-122.43093999999996 37.77801600000004)),28,OLD HOLY VIRGIN RUSSIAN ORTHODOX CHURCH,858-864 FULTON ST,http://sfplanninggis.org/Preservation/Landmarks/Large/28.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/28.jpg,1880,NEWSOM BROTHERS,,0780/013,http://sfplanninggis.org/docs/landmarks_and_districts/LM28.pdf,http://propertymap.sfplanning.org?search=0780/013,37.778016,-122.43094
34,MULTIPOINT ((-122.46698999999995 37.76307500000007)),29,OLD FIRE HOUSE,1348 10TH AV,http://sfplanninggis.org/Preservation/Landmarks/Large/29.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/29.jpg,1898,,,1764/031,http://sfplanninggis.org/docs/landmarks_and_districts/LM29.pdf,http://propertymap.sfplanning.org?search=1764/031,37.763075,-122.46699
35,MULTIPOINT ((-122.42292499999996 37.80585800000006)),30,GHIRARDELLI SQUARE,900 NORTH POINT ST,http://sfplanninggis.org/Preservation/Landmarks/Large/30.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/30.jpg,1859,"W.MOOSER,SR-MAJOR BLDGS;WUSTER,BERNARDI & EMMONS-1962 BLDGS",,0452/003,http://sfplanninggis.org/docs/landmarks_and_districts/LM30.pdf,http://propertymap.sfplanning.org?search=0452/003,37.805858,-122.422925
36,MULTIPOINT ((-122.42639299999996 37.79661800000008)),31,BURR HOUSE,1772 VALLEJO ST,http://sfplanninggis.org/Preservation/Landmarks/Large/31.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/31.jpg,1875,EDMUND M. WHARFF,,0552/029,http://sfplanninggis.org/docs/landmarks_and_districts/LM31.pdf,http://propertymap.sfplanning.org?search=0552/029,37.796618,-122.426393
37,MULTIPOINT ((-122.43806099999995 37.77276800000004)),32,ABNER PHELPS HOUSE,1111 OAK ST,http://sfplanninggis.org/Preservation/Landmarks/Large/32.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/32.jpg,1850/51,,,1218/050,http://sfplanninggis.org/docs/landmarks_and_districts/LM32.pdf,http://propertymap.sfplanning.org?search=1218/050,37.772768,-122.438061
38,MULTIPOINT ((-122.40502099999998 37.79653500000006)),33,SENTINEL BUILDING/COLUMBUS TOWER,916-920 KEARNY STREET,http://sfplanninggis.org/Preservation/Landmarks/Large/33.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/33.jpg,1905;1959,SALFIELD & KOHLBERG,,0176/013,http://sfplanninggis.org/docs/landmarks_and_districts/LM33.pdf,http://propertymap.sfplanning.org?search=0176/013,37.796535,-122.405021
39,MULTIPOINT ((-122.403438 37.79439300000007)),34,U.S. MINT & SUBTREASURY BUILDING,608-610 COMMERCIAL ST,http://sfplanninggis.org/Preservation/Landmarks/Large/34.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/34.jpg,1852;1906,,,0227/048,http://sfplanninggis.org/docs/landmarks_and_districts/LM34.pdf,http://propertymap.sfplanning.org?search=0227/048,37.794393,-122.403438
40,MULTIPOINT ((-122.42167099999995 37.78252400000008)),35,STADTMULLER HOUSE,819 EDDY ST,http://sfplanninggis.org/Preservation/Landmarks/Large/35.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/35.jpg,1880,P.R. SCHMIDT,,0743/015,http://sfplanninggis.org/docs/landmarks_and_districts/LM35.pdf,http://propertymap.sfplanning.org?search=0743/015,37.782524,-122.421671
41,MULTIPOINT ((-122.41668599999997 37.79825500000004)),36,FEUSIER OCTAGON HOUSE/KENNY RESIDENCE,1067 GREEN STREET,http://sfplanninggis.org/Preservation/Landmarks/Large/36.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/36.jpg,1856,,,0126/022A,http://sfplanninggis.org/docs/landmarks_and_districts/LM36.pdf,http://propertymap.sfplanning.org?search=0126/022A,37.798255,-122.416686
42,MULTIPOINT ((-122.40303999999998 37.79023700000005)),37,HALLIDIE BUILDING,130-150 SUTTER ST,http://sfplanninggis.org/Preservation/Landmarks/Large/37.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/37.jpg,1918,WILLIS POLK,,0288/030,http://sfplanninggis.org/docs/landmarks_and_districts/LM37.pdf,http://propertymap.sfplanning.org?search=0288/030,37.790237,-122.40304
43,MULTIPOINT ((-122.43290499999995 37.79412400000007)),38,BOURNE MANSION,2550 WEBSTER ST,http://sfplanninggis.org/Preservation/Landmarks/Large/38.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/38.jpg,1896,WILLIS POLK,,0580/013,http://sfplanninggis.org/docs/landmarks_and_districts/LM38.pdf,http://propertymap.sfplanning.org?search=0580/013,37.794124,-122.432905
44,MULTIPOINT ((-122.42941699999994 37.76857800000005)),39,SAINT FRANCIS LUTHERAN CHURCH,152 CHURCH STREET,http://sfplanninggis.org/Preservation/Landmarks/Large/39.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/39.jpg,1905,,,3537/010,http://sfplanninggis.org/docs/landmarks_and_districts/LM39.pdf,http://propertymap.sfplanning.org?search=3537/010,37.768578,-122.429417
45,MULTIPOINT ((-122.42341399999998 37.78504700000008)),40,FIRST UNITARIAN CHURCH,1187 FRANKLIN STREET,http://sfplanninggis.org/Preservation/Landmarks/Large/40.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/40.jpg,1887,GEORGE W. PERCY,,0713/034,http://sfplanninggis.org/docs/landmarks_and_districts/LM40.pdf,http://propertymap.sfplanning.org?search=0713/034,37.785047,-122.423414
46,MULTIPOINT ((-122.42349099999996 37.78418000000005)),41,ST. MARKS LUTHERAN CHURCH,1111-1135 O'FARRELL STREET,http://sfplanninggis.org/Preservation/Landmarks/Large/41.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/41.jpg,1894,HENRY GEILFUSS,,0720/028,http://sfplanninggis.org/docs/landmarks_and_districts/LM41.pdf,http://propertymap.sfplanning.org?search=0720/028,37.78418,-122.423491
47,MULTIPOINT ((-122.41161799999998 37.79008700000003)),42,DENNIS T. SULLIVAN MEMORIAL HOME,870 BUSH ST,http://sfplanninggis.org/Preservation/Landmarks/Large/42.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/42.jpg,1921,"JOHN REID, JR.",,0274/010,http://sfplanninggis.org/docs/landmarks_and_districts/LM42.pdf,http://propertymap.sfplanning.org?search=0274/010,37.790087,-122.411618
48,MULTIPOINT ((-122.41192099999995 37.794782000000055)),43,CABLE CAR BARN AND POWER HOUSE,1200 MASON ST,http://sfplanninggis.org/Preservation/Landmarks/Large/43.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/43.jpg,1885-87,,,0190/005,http://sfplanninggis.org/docs/landmarks_and_districts/LM43.pdf,http://propertymap.sfplanning.org?search=0190/005,37.794782,-122.411921
49,MULTIPOINT ((-122.40840999999995 37.79335200000003)),44,DONALDINA CAMERON HOUSE,920 SACRAMENTO ST,http://sfplanninggis.org/Preservation/Landmarks/Large/44.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/44.jpg,1908,BENJAMIN GREER MCDOUGALL,,0224/008,http://sfplanninggis.org/docs/landmarks_and_districts/LM44.pdf,http://propertymap.sfplanning.org?search=0224/008,37.793352,-122.40841
50,MULTIPOINT ((-122.43589799999995 37.79291400000005)),45,LEALE HOUSE,2475 PACIFIC AV,http://sfplanninggis.org/Preservation/Landmarks/Large/45.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/45.jpg,1860+/-,"ORIGINAL UNKNOWN, 1964 RENOVATION BY WILLARD RAND",,0587/018,http://sfplanninggis.org/docs/landmarks_and_districts/LM45.pdf,http://propertymap.sfplanning.org?search=0587/018,37.792914,-122.435898
51,"MULTIPOINT ((-122.41349699999995 37.797825000000046), (-122.41292199999998 37.79777500000006))",46,HOUSE OF THE FLAG,1652-1656 TAYLOR ST,http://sfplanninggis.org/Preservation/Landmarks/Large/46.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/46.jpg,1860/1903,,,0149/032,http://sfplanninggis.org/docs/landmarks_and_districts/LM46.pdf,http://propertymap.sfplanning.org?search=0149/032,37.7978,-122.4132095
52,"MULTIPOINT ((-122.41349699999995 37.797825000000046), (-122.41292199999998 37.79777500000006))",46,HOUSE OF THE FLAG; OLD SHEPPARD-DAKIN HS,1652-1656 TAYLOR ST,http://sfplanninggis.org/Preservation/Landmarks/Large/46.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/46.jpg,1860/1903,,,0149/032,http://sfplanninggis.org/docs/landmarks_and_districts/LM46.pdf,http://propertymap.sfplanning.org?search=0149/032,37.7978,-122.4132095
53,MULTIPOINT ((-122.42720299999996 37.771825000000035)),47,NIGHTINGALE HOUSE,201 BUCHANAN ST,http://sfplanninggis.org/Preservation/Landmarks/Large/47.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/47.jpg,1882,JOHN MARQUIS,,0858/002,http://sfplanninggis.org/docs/landmarks_and_districts/LM47.pdf,http://propertymap.sfplanning.org?search=0858/002,37.771825,-122.427203
54,MULTIPOINT ((-122.42558699999995 37.77394300000003)),48,DIETLE RESIDENCE,294 PAGE ST,http://sfplanninggis.org/Preservation/Landmarks/Large/48.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/48.jpg,1878;1885,HENRY GEILFUSS,,0839/017,http://sfplanninggis.org/docs/landmarks_and_districts/LM48.pdf,http://propertymap.sfplanning.org?search=0839/017,37.773943,-122.425587
55,MULTIPOINT ((-122.43465399999997 37.79663800000003)),49,SHERMAN HOUSE,2160 GREEN ST,http://sfplanninggis.org/Preservation/Landmarks/Large/49.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/49.jpg,1876-77,,,0540/030,http://sfplanninggis.org/docs/landmarks_and_districts/LM49.pdf,http://propertymap.sfplanning.org?search=0540/030,37.796638,-122.434654
56,MULTIPOINT ((-122.45997099999994 37.77264300000007)),50,GOLDEN GATE CONSERVATORY,JOHN F. KENNEDY DR,http://sfplanninggis.org/Preservation/Landmarks/Large/50.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/50.jpg,1878-79,,,1700/001,http://sfplanninggis.org/docs/landmarks_and_districts/LM50.pdf,http://propertymap.sfplanning.org?search=1700/001,37.772643,-122.459971
57,MULTIPOINT ((-122.43895499999996 37.795214000000044)),51,CASEBOLT HOUSE,2727 PIERCE ST,http://sfplanninggis.org/Preservation/Landmarks/Large/51.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/51.jpg,1865,,,0560/005,http://sfplanninggis.org/docs/landmarks_and_districts/LM51.pdf,http://propertymap.sfplanning.org?search=0560/005,37.795214,-122.438955
58,MULTIPOINT ((-122.40364699999998 37.79601400000007)),52,TRANSAMERICA BLDG/OLD FUGAZI BANK,4 COLUMBUS AV,http://sfplanninggis.org/Preservation/Landmarks/Large/52.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/52.jpg,1909,CHARLES PAFF,,0195/002,http://sfplanninggis.org/docs/landmarks_and_districts/LM52.pdf,http://propertymap.sfplanning.org?search=0195/002,37.796014,-122.403647
59,MULTIPOINT ((-122.42485899999997 37.790358000000026)),53,ISAAC WORMSER HOUSE/JOHN C. COLEMAN HOUS,1834 CALIFORNIA ST,http://sfplanninggis.org/Preservation/Landmarks/Large/53.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/53.jpg,1876,,,0641/005,http://sfplanninggis.org/docs/landmarks_and_districts/LM53.pdf,http://propertymap.sfplanning.org?search=0641/005,37.790358,-122.424859
60,MULTIPOINT ((-122.424286 37.79043000000007)),54,EDWARD COLEMAN HOUSE,1701 FRANKLIN ST,http://sfplanninggis.org/Preservation/Landmarks/Large/54.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/54.jpg,1896,SALFIELD & KOHLBERG,,0641/003,http://sfplanninggis.org/docs/landmarks_and_districts/LM54.pdf,http://propertymap.sfplanning.org?search=0641/003,37.79043,-122.424286
61,MULTIPOINT ((-122.42452099999997 37.79040100000003)),55,LILIENTHAL-ORVILLE PRATT HOUSE,1818-1820 CALIFORNIA ST,http://sfplanninggis.org/Preservation/Landmarks/Large/55.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/55.jpg,1876,,,0641/004,http://sfplanninggis.org/docs/landmarks_and_districts/LM55.pdf,http://propertymap.sfplanning.org?search=0641/004,37.790401,-122.424521
62,MULTIPOINT ((-122.45275399999997 37.79042700000008)),56,ROOS RESIDENCE,3500 JACKSON ST,http://sfplanninggis.org/Preservation/Landmarks/Large/56.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/56.jpg,1909,BERNARD MAYBECK,,0970/002,http://sfplanninggis.org/docs/landmarks_and_districts/LM56.pdf,http://propertymap.sfplanning.org?search=0970/002,37.790427,-122.452754
63,MULTIPOINT ((-122.42471199999994 37.79490100000004)),57,TALBOT-DUTTON HOUSE,1782 PACIFIC ST,http://sfplanninggis.org/Preservation/Landmarks/Large/57.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/57.jpg,1875,,,0575/010,http://sfplanninggis.org/docs/landmarks_and_districts/LM57.pdf,http://propertymap.sfplanning.org?search=0575/010,37.794901,-122.424712
64,MULTIPOINT ((-122.43305799999996 37.80390100000005)),58,MERRYVALE ANTIQUES (S.F. GAS LIGHT CO.),3640 BUCHANAN ST,http://sfplanninggis.org/Preservation/Landmarks/Large/58.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/58.jpg,1891/1893,"J.B. CROCKETT; RESTORATION (1958?) BY WURSTER, BERNARDI, EMMONS",,0459/003,http://sfplanninggis.org/docs/landmarks_and_districts/LM58.pdf,http://propertymap.sfplanning.org?search=0459/003,37.803901,-122.433058
65,MULTIPOINT ((-122.42017399999997 37.80717500000003)),59,HASLETT WAREHOUSE BUILDING,680 BEACH ST,http://sfplanninggis.org/Preservation/Landmarks/Large/59.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/59.jpg,1907-09,"WM. MOOSER, SR.",,0010/002,http://sfplanninggis.org/docs/landmarks_and_districts/LM59.pdf,http://propertymap.sfplanning.org?search=0010/002,37.807175,-122.420174
